15,20.0662,1703172582
15,20.3104,1703172583
21,19.937,1703172584
15,20.3202,1703172584
15,20.1162,1703172585
37,19.8078,1703172586
15,20.3046,1703172586
21,19.8858,1703172587
15,20.5119,1703172587
37,19.9611,1703172588
15,20.3247,1703172588
15,20.3258,1703172589
21,20.1341,1703172590
37,19.9479,1703172590
15,20.1013,1703172590
15,19.898,1703172591
37,20.1749,1703172592
15,19.9839,1703172592
21,19.8955,1703172593
15,19.8828,1703172593
37,20.3397,1703172594
15,19.8436,1703172594
15,19.7789,1703172595
21,20.0721,1703172596
37,20.4789,1703172596
15,19.6984,1703172596
